City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,dunedin,-45.8742,170.5036,9.33,71,0,2.57,NZ,1720617473
304,faya-largeau,17.9257,19.1043,42.13,8,100,5.35,TD,1720617473
305,ghat,24.9647,10.1728,40.61,10,5,6.91,LY,1720617473
306,al bawiti,28.3492,28.8659,40.73,15,0,4.04,EG,1720617473
307,monroe,43.1501,-77.6831,24.01,84,100,3.6,US,1720617365
308,robertson,36.5167,-86.8667,22.99,88,100,3.6,US,1720617474
309,chayan,43.0297,69.3772,35.79,17,0,4.97,KZ,1720617474
310,berdigestyakh,62.0989,126.6992,12.65,94,72,2.03,RU,1720617474
311,beloyarskiy,63.7119,66.6722,27.77,44,66,1.47,RU,1720617474
312,masaka,-0.3338,31.7341,26.9,46,99,5.7,UG,1720617474
313,jumla,29.2747,82.1838,18.56,86,40,1.78,NP,1720617302
314,revda,56.801,59.9303,27.12,42,17,1.18,RU,1720617475
315,pamekasan,-7.1568,113.4746,25.97,80,100,3.4,ID,1720617475
316,ellon,57.3641,-2.0731,12.34,100,75,8.75,GB,1720617475
317,jagatsinghapur,20.2667,86.1667,29.51,72,100,5.75,IN,1720617475
318,wuchang,44.9143,127.15,18.2,77,0,1.83,CN,1720617475
319,khandud,36.9513,72.318,21.59,27,36,3.77,AF,1720617476
320,oriximina,-1.7656,-55.8661,28.41,64,100,0.26,BR,1720617476
321,as sulayyil,20.4607,45.5779,45.14,8,95,3.74,SA,1720617476
322,akrehamn,59.2667,5.1833,15.79,94,75,3.09,NO,1720617476
323,nova sintra,14.8667,-24.7167,23.95,80,59,9.49,CV,1720617371
324,takanabe,32.1333,131.5,29.94,81,100,3.71,JP,1720617476
325,dwarka,22.2394,68.9678,30.19,79,27,5.81,IN,1720617477
326,kolonia,50.9333,6.95,27.55,77,40,3.6,DE,1720617246
327,zapolyarnyy,69.4154,30.8136,14.6,55,100,4.57,RU,1720617477
328,katsuyama,36.0617,136.501,26.2,99,100,2.32,JP,1720617478
329,douz,33.4663,9.0203,45.28,10,0,3.68,TN,1720617478
330,aguada de pasajeros,22.385,-80.8508,28.48,76,6,3.88,CU,1720617478
331,nuuk,64.1835,-51.7216,4.34,100,100,6.17,GL,1720617478
332,villanueva del arzobispo,38.1684,-3.0074,33.94,14,0,4.41,ES,1720617478
333,ilebo,-4.3167,20.5833,37.21,11,98,1.66,CD,1720617478
334,tual,-5.6667,132.75,26.01,83,85,10.7,ID,1720617479
335,siquijor,9.2142,123.515,28.0,79,100,2.01,PH,1720617479
336,kiruna,67.8557,20.2251,15.51,48,0,4.63,SE,1720617479
